,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Metrics,DAILY_MARKET_CAPS,,,,,,,
,,ETH,BNB,ADA,SOL,MATIC,AVAX,ATOM,NEAR
,2022-02-24,310997586956,61823423821,27987012931,27294663662,9946003417,18193338946,7335448412,5484990559
,2022-02-25,311533514951,60666123712,27380809087,28497445445,9885807671,18830562451,7208090751,5423685541
,2022-02-26,333625150662,63040996747,28804358272,29919961866,10707626663,19929297537,7883875513,5741413544
,2022-02-27,332645349330,62626174043,28448195570,28767659414,10378425851,20037179964,8540384063,5818021387
,2022-02-28,314566178974,60867607020,27574399428,27360038516,9957328551,18405566798,7718393713,5448297776
,2022-03-01,349056335389,66424867796,30630996790,31846087893,11035100527,20678374643,9074717561,6156851753
,2022-03-02,355855644057,68682205857,30892367859,31569373572,11149465670,21366728263,9003272690,7552845824
,2022-03-03,353807222059,68815406700,30158715639,32379126079,11239527012,20583813351,9357629734,7116053086
,2022-03-04,340585349633,67836012887,29070217142,30435232238,10904554509,19488998595,9896396341,7108772641
,2022-03-05,314336377086,63038204707,27092657207,28319787093,10163921687,20135720441,8857879463,6711990143
,2022-03-06,319334318241,64694552916,27767699998,28439402259,10356911461,20410960617,8998488384,6767882326
,2022-03-07,306675297179,63077523634,26438548436,26835926882,9882264012,19298906468,8153026712,6600947332
,2022-03-08,299834957580,63911307485,25566969906,26300808793,9745499650,19103616815,8271207453,6267361243
,2022-03-09,309291567872,64220105350,25692133992,26425486648,9935355716,19415435795,8071257261,6275978389
,2022-03-10,327144318379,66202668578,27249486596,28509710713,10353681356,20664526833,8762155587,7443529403
,2022-03-11,313054369877,62505187316,25889503942,26526485356,9888458842,19691912749,8128920115,7135364162
,2022-03-12,307992205235,62803713531,25428798152,26163052143,9704909544,19041553664,8063886971,6675178654
,2022-03-13,309539252975,62799547814,25434710292,26366084285,9632014380,18903706417,7921451881,6682845031
,2022-03-14,302103577555,60866119883,25355708728,25452866391,9349667862,18103520231,7628630744,6377956647
,2022-03-15,310467033555,62671877529,25728914895,26140341334,9447541297,18218747473,7766754552,6553165274
,2022-03-16,314931220495,62545699438,25719829389,26592730954,9508814845,18668753894,7816748357,6636021265
,2022-03-17,333204590005,64769916794,26541616927,27984951681,9984538248,19550754192,8412317100,7010504943
,2022-03-18,338097336084,65846032214,26836330496,28483850000,9967222365,21290596552,8196983676,7050383078
,2022-03-19,353539105455,66860410901,27401653000,28795996369,10322675308,22954938133,8348695845,7508164098
,2022-03-20,353770129279,67167808769,28829284961,29598406487,10484554279,23994800348,8326422181,7410139638
,2022-03-21,343170506313,65740764174,28148726945,28394223140,10075285754,22691615767,8072240447,6977656353
,2022-03-22,347666776668,66563040409,29195679346,28382479439,10063226770,23124499055,8138267485,7140901857
,2022-03-23,356813271189,67944911784,31106610233,29048148956,10339425167,22478694683,8157876830,7268547869
,2022-03-24,363715804799,68533085664,35144269548,30612053299,10680221042,22946360407,8190257674,8202288073
,2022-03-25,373177111115,69570163338,36174727483,32979523333,11198226602,23390699478,8472819923,8526990246
,2022-03-26,373074920727,69101357831,35230742774,31980590349,10867692233,22377088635,8198810158,8050240681
,2022-03-27,377825418684,69918476313,36962552853,33176556213,11083688051,23022140761,8405661741,8409111347
,2022-03-28,394486853105,72171510772,37732296889,34802243173,11611983801,23754196857,8659657391,8693550921
,2022-03-29,399977979554,72525569986,37863693778,34753559142,11490538539,24280414596,8555846761,8429831182
,2022-03-30,408153998268,73031351754,38100498122,36192035879,11481806388,24697648961,8793673815,9342328559
