,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Metrics,TVL,,,,,,,
,,ETH,BNB,ADA,SOL,MATIC,AVAX,ATOM,NEAR
,2022-02-24,72412132462,8722933025,118245646.8,4228650864,3442371544,8852130400,1040158.406,91326833.66
,2022-02-25,71909832432,8765462661,111846343.9,4315306505,3385543718,8773952618,1022521.65,90758364.1
,2022-02-26,73194259172,8838143880,120405891.2,4358817763,3530652330,8905437713,1121069.916,96153990.45
,2022-02-27,73243123263,8771307677,118999195.8,4334110237,3495937244,8874397247,1223004.916,99147550.27
,2022-02-28,71038698355,8924324506,113898507.8,4143948773,3395318472,8666186272,1099131.142,93806011.69
,2022-03-01,75318841594,9202677945,134273373.5,4476344147,3715709152,9418538899,1331416.764,99750528.33
,2022-03-02,76113740299,9177176120,132164728.8,4425447744,3729638734,9597274735,1385145.801,107212700.4
,2022-03-03,76000196282,9195838052,132428902.2,4366127263,3719701491,9499594163,1469661.328,106456597.1
,2022-03-04,74344657615,8885410692,136632797.5,4249198624,3312676263,9198879615,1508332.688,102590822.3
,2022-03-05,71234521842,8847020096,135620352.1,4144215033,3271478508,9017922921,1323317.538,99777303.4
,2022-03-06,72050637878,8842682628,152661490.8,4114742361,3304175565,9101555717,1353895.299,103583474.8
,2022-03-07,70433346515,8765724985,158557013.8,4109252723,3193209298,8961491771,345329.8718,98191248.81
,2022-03-08,69946379114,8731478002,161661779.7,4021545916,3169864755,8929902545,356796.4853,95991096.61
,2022-03-09,70904943516,9049165312,166096363.9,3985045712,3180517187,9062337324,351502.2945,97455919.56
,2022-03-10,73381885297,8960507840,175493094.6,4197347378,3269867035,9257146239,372379.7878,106209105.3
,2022-03-11,71510216136,8774222480,167141646.6,4006765743,3138092020,9102167933,346117.9679,102262939.9
,2022-03-12,70606344777,8819868491,170552521.4,4210642543,3101342571,9065899851,346862.5745,100257518
,2022-03-13,70840514731,8724856601,177402489.1,4305680600,3051607641,9013475789,336468.993,97893113.83
,2022-03-14,69867322163,8719921923,182816016.2,4044123426,3024746636,8912464247,324323.7984,92887854.9
,2022-03-15,70792320284,8773055710,191248491.3,4276984593,3129757184,8800192052,334045.0176,105097129.6
,2022-03-16,71128060018,8906130115,200464372,4227445798,3135093836,8891813050,334945.02,104411951.7
,2022-03-17,74120485506,9079674252,219419697.8,4264758803,3334841692,9061596557,357573.08,108991424
,2022-03-18,74264167481,9119106851,225828865.9,4168441647,3320837777,9210909975,350647.7987,107688047.1
,2022-03-19,76167050601,9252340463,240788531.9,4449495261,3463818035,9415212757,360395.0368,113897347.5
,2022-03-20,76314593208,9157148872,271463815.1,4387260794,3406906847,9371129861,351446.2875,115701509.4
,2022-03-21,75122105961,9083015002,276197206.4,4282509583,3416332006,9168478362,341323.89,112464836.5
,2022-03-22,77600162595,9540102889,288010825.6,4301706997,3547917878,9444457024,342916,117212967.3
,2022-03-23,78932984858,9704976491,316360151.2,4152338499,3612346583,9312319544,343350.075,110887758.5
,2022-03-24,79774273375,9926091244,325997796.2,4185970532,3703480391,9261919651,351849.015,117157358.4
,2022-03-25,80564531206,10049190064,321972451.7,4217653332,3872067306,9040317512,368524.9848,118449696
,2022-03-26,79620289897,10227715981,308453916.5,4134873883,3972704341,8853198888,349442.9559,117901988.8
,2022-03-27,80455543617,10522566228,308813344.2,4371445164,4019150275,9018499969,357933.888,118537324.4
,2022-03-28,82588818860,10547530966,323176336.1,4320947979,4146368970,9239851356,369492.1698,121364637
,2022-03-29,82827991303,10600245746,321163394.1,4410452218,4162534282,9342039969,372299.0505,120469797
,2022-03-30,83625081998,10574896646,301689178.4,4346487224,4164061159,9375376773,377090.2974,129066413.2
,2022-03-31,84059088751,10575031267,289307766.9,4527893201,4250208480,9510628153,378265.806,141937050.7
,2022-04-01,80043857624,10731385180,242565591.9,4564561627,4147298167,9445389622,361409.1321,147678822.5
,2022-04-02,82772321775,10932457840,241820872.5,4820276214,4288963664,9580611783,372492.59,157637583.3
,2022-04-03,82402297888,11052844865,241867896.8,4819196103,4284030463,9575245231,398704.64,157394299.5
,2022-04-04,83323176502,11077175198,246796964.7,4897806359,4319819977,9635252226,405509.4456,174317652.9
,2022-04-05,83347292621,11063749973,252258880.7,4907523374,4315079296,9614715010,392238.6236,186460197.6
,2022-04-06,81264659955,10745761668,239894255.2,4672886570,4164959201,9395624906,372613.892,183352777.1
,2022-04-07,78438921335,10726401618,220774356.7,4448374419,3986297607,9044381242,342260.1105,183722711.3
,2022-04-08,79921836559,10892748455,231965596.9,4096406420,4029360436,9238021281,355005.8155,212914893.5
,2022-04-09,79223932866,10827797960,217543213.6,4120377694,3984597612,9110000881,348260.124,222374738.8
,2022-04-10,80390964637,10759963735,221169920.8,4173694888,4028049099,9181743097,352588.2283,232666687
,2022-04-11,79707450842,10442332550,219578232.9,4143189520,3929982352,9051985413,346655.3936,234394251
,2022-04-12,75569002951,10215560240,196792683.1,3910535612,3653989511,8616974794,315780.4091,241024023.8
,2022-04-13,76446411712,10384915036,233014610.8,3922606877,3713160812,8684240416,331813.712,255715516.4
,2022-04-14,77739636833,10353340697,238984005.1,4152425516,3729874181,8864658292,331170.684,284558152.6
,2022-04-15,76296230249,10313061164,234983768.6,4031936086,3655970030,8618947104,321517.1256,291986144
,2022-04-16,76671716755,10399530624,235596378.9,4087756463,3696675753,8641527283,325033.335,302339196.4
,2022-04-17,77026487888,10379404487,232580129.7,4037097120,3685040808,8744790830,324255.2256,309989021.9
,2022-04-18,75593749610,10329261792,221868322.2,3950744353,3605452981,8670431498,313005.2814,317288771.3
,2022-04-19,76588340987,10434325401,223357230.8,4121634195,3670127921,9371481153,327313.152,340653404.1
,2022-04-20,77172998181,10594497971,223877218.5,4168277457,3781658370,9463723897,332595.38,361272315.7
,2022-04-21,77003750158,10362082383,223069336,4079719543,3711026674,9507880469,327209.22,361081176.5
,2022-04-22,75040685705,10360553418,218601919.8,4012987294,3608587413,9252441194,314306.426,362673163.5
,2022-04-23,74606099055,10331299247,218457415.3,3902688436,3615438886,8997959448,310687.9535,347751818.6
,2022-04-24,74275560186,10294446920,213878635.5,4025918890,3599685096,8898344622,311923.7784,348902754.2
,2022-04-25,73964488401,10622354594,208847327,3865368790,3540347686,8645300884,295215.4624,371809690.3
,2022-04-26,76122381958,10542846776,213517035.5,4009125118,3580161706,8491120964,298874.0592,378729244.4
,2022-04-27,72885023542,10403814547,197426852.7,3824723164,3420964017,8194443473,274851.577,357947695.2
,2022-04-28,74105904419,10491942851,200214541.4,3958557998,3477705345,8216026434,289033.108,365607409.9
,2022-04-29,74195174083,10129562619,202637013.6,3940694853,3431728452,8143877285,279854.8513,419989272.5
,2022-04-30,72345898725,9880544628,194956577.9,3894461886,3306987318,7958900484,266852.6385,402356647.1
,2022-05-01,70329969907,9838848763,187296232.9,3606291553,3194299559,7686364725,250324.242,366340059.7
,2022-05-02,71358920604,9947301071,196207741,3685708523,3247460121,7760167206,250311.624,364062632.7
,2022-05-03,71314277648,9902468381,195041304.2,3696010949,3208941102,7782049766,248121.5744,371836072.8
,2022-05-04,70641831379,10029926729,194226611.5,3706067170,3522864696,7757501260,248529.4012,376271774.4
,2022-05-05,72930357266,9924828100,223256628.5,3831078964,3651742615,7942169268,279149.9345,393998759.7
,2022-05-06,69595320248,9793047419,201618852.6,3658383275,3643711191,7559019412,260625.4434,365687658
,2022-05-07,69049551046,9719521405,201148305.9,3618160456,3687608026,7297947737,258709.8736,375563849.2
,2022-05-08,67010734420,9505581566,196570938.8,3572442538,3772042501,7161862228,240877.675,476930624.2
,2022-05-09,64793374369,8822285485,194025155.9,3446791468,3680319554,7044053725,234202.2858,481722005.1
,2022-05-10,59526807347,8532041303,158245784,3006451752,3297847167,6156621361,183703.3308,465932196.4
