,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Metrics,WEEKLY_ACTIVE_DEVS_SUB_ECOSYSTEMS,,,,,,,
,,ETH,BNB,ADA,SOL,MATIC,AVAX,ATOM,NEAR
,2022-02-24,3368,441,96,1171,248,282,1266,241
,2022-02-25,3368,441,96,1171,248,282,1266,241
,2022-02-26,3368,441,96,1171,248,282,1266,241
,2022-02-27,3402,425,89,1234,261,275,1497,245
,2022-02-28,3402,425,89,1234,261,275,1497,245
,2022-03-01,3402,425,89,1234,261,275,1497,245
,2022-03-02,3402,425,89,1234,261,275,1497,245
,2022-03-03,3402,425,89,1234,261,275,1497,245
,2022-03-04,3402,425,89,1234,261,275,1497,245
,2022-03-05,3402,425,89,1234,261,275,1497,245
,2022-03-06,3435,359,84,1221,225,204,1209,271
,2022-03-07,3435,359,84,1221,225,204,1209,271
,2022-03-08,3435,359,84,1221,225,204,1209,271
,2022-03-09,3435,359,84,1221,225,204,1209,271
,2022-03-10,3435,359,84,1221,225,204,1209,271
,2022-03-11,3435,359,84,1221,225,204,1209,271
,2022-03-12,3435,359,84,1221,225,204,1209,271
,2022-03-13,3389,399,93,1144,245,211,1319,250
,2022-03-14,3389,399,93,1144,245,211,1319,250
,2022-03-15,3389,399,93,1144,245,211,1319,250
,2022-03-16,3389,399,93,1144,245,211,1319,250
,2022-03-17,3389,399,93,1144,245,211,1319,250
,2022-03-18,3389,399,93,1144,245,211,1319,250
,2022-03-19,3389,399,93,1144,245,211,1319,250
,2022-03-20,3416,378,111,1185,242,187,1252,262
,2022-03-21,3416,378,111,1185,242,187,1252,262
,2022-03-22,3416,378,111,1185,242,187,1252,262
,2022-03-23,3416,378,111,1185,242,187,1252,262
,2022-03-24,3416,378,111,1185,242,187,1252,262
,2022-03-25,3416,378,111,1185,242,187,1252,262
,2022-03-26,3416,378,111,1185,242,187,1252,262
,2022-03-27,3415,389,91,1080,212,167,1154,254
,2022-03-28,3415,389,91,1080,212,167,1154,254
,2022-03-29,3415,389,91,1080,212,167,1154,254
,2022-03-30,3415,389,91,1080,212,167,1154,254
,2022-03-31,3415,389,91,1080,212,167,1154,254
,2022-04-01,3415,389,91,1080,212,167,1154,254
,2022-04-02,3415,389,91,1080,212,167,1154,254
,2022-04-03,3253,363,108,1075,223,171,1303,270
,2022-04-04,3253,363,108,1075,223,171,1303,270
,2022-04-05,3253,363,108,1075,223,171,1303,270
,2022-04-06,3253,363,108,1075,223,171,1303,270
